Název,Provozovatel,IČO,Bezbariérovost,Poznámka k bezbariérovosti,Typ kina,Počet sálů,Kapacita,Název vyššího územního samosprávného celku,Kód vyššího územního samosprávného celku dle číselníku ČSÚ,Název okresu,Kód okresu dle číselníku ČSÚ,Název správního obvodu obce s rozšířenou působností,Kód správního obvodu obce s rozšířenou působností dle číselníku ČSÚ,Název obce,Kód obce dle číselníku ČSÚ,Název ulice,Číslo popisné nebo evidenční podle typu čísla domovního,Typ čísla domovního,Číslo orientační,PSČ,Webové stránky,Zápis vektorové geometrie,Zeměpisná délka v souřadnicovém systému WGS84,Zeměpisná šířka v souřadnicovém systému WGS84,Jedinečný identifikátor v katalogu otevřených dat Data KHK,ID,x2,y2
Kino Vlast,Město Janské Lázně,00277967,ANO,bezbariérové WC,kino se stálým provozem,1,243,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Jánské Lázně,579351,Náměstí Svobody,273,č.p.,,542 25    ,kulturafm.cz,POINT(50.6303 15.7804),15.7804,50.6303,KINA27,27,1756666.09251418,6556156.78931588
Kino Vzájemnost,Obec České Meziříčí,00274810,NE,"není bezbariérové WC, od jara 2025 plánovaná rekonstrukce",kino s nepravidelným provozem,1,215,Královéhradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Dobruška,5202,České Meziříčí,576212,Osvobození,313,č.p.,,517 71    ,https://www.ceskemezirici.cz/web/index.php?option=com_content&view=category&layout=blog&id=16&Itemid=15,POINT(50.2862 16.0428),16.0428,50.2862,KINA28,28,1785876.32689834,6495988.96396233
Kino Žernov,Městys Žernov,00273295,NEZJIŠTĚNO,"bezbariérový vstup ano, není bezbariérové WC",kino s letním provozem,1,100,Královéhradecký kraj,CZ052,Náchod,CZ0523,Náchod,5209,Žernov,574708,,112,č.p.,,552 03    ,www.zernov.cz,POINT(50.4305 16.0589),16.0589,50.4305,KINA29,29,1787668.57070011,6521167.37109208
Kolárovo divadlo,Město Police nad Metují (CKV Pellyho domy),00272949,ANO,bezbariérové WC,kino se stálým provozem,1,320,Královéhradecký kraj,CZ052,Náchod,CZ0523,Náchod,5209,Police nad Metují,574341,Jiráskova,151,č.p.,,549 54    ,https://www.pellyhodomy.cz/,POINT(50.5372 16.2374),16.2374,50.5372,KINA30,30,1807539.0998067,6539834.47280907
Konferenční sál IC,Město Broumov,00272523,ANO,bezbariérové WC,kino s nepravidelným provozem,1,288,Královéhradecký kraj,CZ052,Náchod,CZ0523,Broumov,5201,Broumov,573922,Mírové náměstí,105,č.p.,,550 01    ,https://broumov-mesto.cz/ap/p1=3484,POINT(50.5849 16.332),16.332,50.5849,KINA31,31,1818069.92363575,6548193.21799566
Kulturní dům Střelnice,Kulturní dům Střelnice,13584201,ANO,bezbariérové WC,kino se stálým provozem,1,300,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Vrchlabí,5215,Vrchlabí,579858,Vančurova,378,č.p.,,543 01    ,https://www.kinovrchlabi.cz/,POINT(50.6310 15.6106),15.6106,50.631,KINA32,32,1737764.04297748,6556279.63583736
Kulturní klub Malé Svatoňovice,Obec Malé Svatoňovice,00278114,NE,není bezbariérové WC,kino s nepravidelným provozem,2,140,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Malé Svatoňovice,579513,Náměstí Karla Čapka,1,č.p.,,542 34    ,https://www.malesvatonovice.cz/,POINT(50.5340 16.0501),16.0501,50.534,KINA33,33,1786688.95918112,6539274.02107434
Letní Biograf Český Ráj,Kulturní zařízení města Jičína,13584430,ANO,bezbariérové WC,kino s letním provozem,1,200,Královéhradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Jičín,572659,17. listopadu,47,č.p.,,506 01    ,https://kzmj.cz/,POINT(50.4353 15.3522),15.3522,50.4353,KINA34,34,1708999.0865565,6522006.22371488
Letní FILMY POD PEVNOSTÍ,BE SEA Ochrana oceánů z.s.,07038194,ANO,není bezbariérové WC,kino s letním provozem,1,100,Královéhradecký kraj,CZ052,Náchod,CZ0523,Jaroměř,5206,Jaroměř,574121,Trinnerova ,125,č.p.,,551 01    ,https://besea.cz/cz/,POINT(50.3486 15.9084),15.9084,50.3486,KINA35,35,1770914.98733572,6506867.53290135
Letní kino Boháňka-Skála,Obec Boháňka,00271357,ANO,není bezbariérové WC,kino s letním provozem,1,1000,Královéhradecký kraj,CZ052,Jičín,CZ0522,Hořice,5204,Boháňka,572705,Boháňka,27,č.p.,,508 01    ,https://www.facebook.com/LKBohanka/,POINT(50.3586 15.7172),15.7172,50.3586,KINA36,36,1749630.70069604,6508612.22188877
