Název,IČO,Zřizovatel,Bezbariérovost,Poznámka k bezbariérovosti,Typ muzea,Zaměření muzea,Název vyššího územního samosprávného celku,Kód vyššího územního samosprávného celku dle číselníku ČSÚ,Název okresu,Kód okresu dle číselníku ČSÚ,Název správního obvodu obce s rozšířenou působností,Kód správního obvodu obce s rozšířenou působností dle číselníku ČSÚ,Název obce,Kód obce dle číselníku ČSÚ,Název ulice,Číslo popisné nebo evidenční podle typu čísla domovního,Typ čísla domovního,Číslo orientační,PSČ,Webové stránky,Zápis vektorové geometrie,Zeměpisná délka v souřadnicovém systému WGS84,Zeměpisná šířka v souřadnicovém systému WGS84,Jedinečný identifikátor v katalogu otevřených dat Data KHK,Jedinečný identifikátor v datovém skladu Turistického portálu KHK,ID,x2,y2
Harmony Bunker Exposition,60108878,Harmony Club Hotel,ne,bezbariérové WC ne,vojenské,"podzemní kryt pro generální štáb čsl. armády z r. 1984, jednalo se o jeden z nejutajovanějších projektů u nás",Královéhradecký kraj,CZ052,Trutnov,CZ0525,Vrchlabí,5215,Špindlerův Mlýn,579742,Bedřichov,106,č.p.,,54351,Historie hotelu | Wellness Hotel Harmony Špindlerův mlýn Krkonoše (harmonyclub.cz),POINT(50.7302894 15.6013097),15.6013097,50.7302894,MG43,4139,43,1736729.85151217,6573722.9975289
Hasičské muzeum Velké Svatoňovice,65197569,Sbor dobrovolných hasičů Velké Svatoňovice,ne,bezbariérové WC ne,technické,"expozice více jak třiceti velkých hasičských stříkaček, dále hasičské uniformy, přilby, součástky výstroje i výzbroje hasičů a historie hasičské techniky",Královéhradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Velké Svatoňovice,579785,Velké Svatoňovice,324,č.p.,,54235,https://velkesvatonovice.cz/default/default/7504_hasicske-muzeum,POINT(50.5349175 16.0282061),16.0282061,50.5349175,MG44,4154,44,1784251.74138164,6539434.70920747
Historic Car Museum,49996843,Dušan Erlebach,ano,"bezbariérové WC ne, ale jsou dostupné v 60 m vzdálené restauraci",automobilové,"expozici tvoří historická vozidla různých značek, motoristické doplňky, prototyp motocyklu Járy Cimrmana",Královéhradecký kraj,CZ052,Trutnov,CZ0525,Dvůr Králové nad Labem,5203,Kuks,579416,Kuks ,70,č.p.,,54443,https://www.veteran-muzeum-kuks.cz/,POINT(50.4007167 15.89118),15.89118,50.4007167,MG45,4076,45,1768998.06570426,6515964.3127822
Hornický skanzen Žacléř,26001802,Důl Jan Šverma o.p.s.,částečně,"bezbariérové WC ano, bezbariérově přístupno 60 % prohlídkové trasy",hornické,expozice s důlními vozíky a výstava paleontologických nálezů a důlních map,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Žacléř,579874,Lampertice,21,č.p.,,54201,https://www.djs-ops.cz/,POINT(50.6679667 15.9284578),15.9284578,50.6679667,MG46,4162,46,1773147.81141815,6562769.70875761
Horolezecké muzeum Dolní Adršpach,00653560,Obec Adršpach,ne,muzeum je ve druhém patře a nemá žádné prvky bezbarérovosti,horolezecké,"historie horolezeství v regionu a vývoj jistích technik, pomůcek, sedáků a bot",Královéhradecký kraj,CZ052,Náchod,CZ0523,Broumov,5201,Adršpach,547786,Dolní Adršpach,75,č.p.,,54957,https://www.obecadrspach.cz/zamek-1/horolezecke-muzeum/,POINT(50.618955 16.1108689),16.1108689,50.618955,MG47,4001,47,1793453.7221852,6554166.05319348
Hvězdárna a planetárium v Hradci Králové,00084018,Královéhradecký kraj,ano,bezbariérové WC ano,astronomické,interaktivní expozice s názvy Mikrosvět – makrosvět a Energie – formy a přeměny,Královéhradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Hradec Králové,569810,Zámeček ,456,č.p.,30,50008,http://www.astrohk.cz/,POINT(50.1772786 15.8387394),15.8387394,50.1772786,MG48,4047,48,1763160.40481537,6477034.16478339
Hvězdárna Úpice,00371912,Královéhradecký kraj,částečně,"bezbariérové WC ano,  kromě kopule je bezbariérové vše",astronomické,"zaměřuje se naosvětovou a vzdělávací činnost pro veřejnost  v oblasti astronomie
",Královéhradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Úpice,579777,U Lipek ,160,č.p.,,54232,http://www.hvezdarnavupici.cz/,POINT(50.5066561 16.0115586),16.0115586,50.5066561,MG49,4151,49,1782398.55015867,6534486.5281457
Jiráskovo muzeum,00084930,Královéhradecký kraj,ne,bezbariérové WC ne,obecné,"expozice je věnována dílu Aloise Jiráska, dále připomíná významné hronovské rodáky (J.Čapka, E.Hostovského) a historii známého místního ochotnického divadla",Královéhradecký kraj,CZ052,Náchod,CZ0523,Náchod,5209,Hronov,574082,náměstí Čs. armády,500,č.p.,,54931,https://muzeumnachod.cz/2015/10/17/muzeum-aloise-jiraska/,POINT(50.4802361 16.1830956),16.1830956,50.4802361,MG50,4058,50,1801493.96165087,6529863.42846701
Krkonošské muzeum ve Vrchlabí - Čtyři historické domky,00088455,Správa Krkonošského národního parku,ne,bezbariérové WC ne  ,"historické, obecné","expozice lidového umění a uměleckých řemesel, skla 18. a 19. století a dějin města Vrchlabí",Královéhradecký kraj,CZ052,Trutnov,CZ0525,Vrchlabí,5215,Vrchlabí,579858,náměstí Míru,222,č.p.,,54311,https://www.krnap.cz/,POINT(50.6295561 15.6071394),15.6071394,50.6295561,MG51,4156,51,1737378.81074764,6556026.24056735
Krkonošské muzeum ve Vrchlabí - Klášter,00088455,Správa Krkonošského národního parku,ano,bezbariérové WC ano  ,"geologické, historické","vývoj Krkonoš od prvohor po současnost, výstava o historii a osídlování Krkonoš",Královéhradecký kraj,CZ052,Trutnov,CZ0525,Vrchlabí,5215,Vrchlabí,579858,Husova ,213,č.p.,,54311,https://www.krnap.cz/,POINT(50.6288733 15.6055239),15.6055239,50.6288733,MG52,4155,52,1737198.97411026,6555906.41621866
